"","latitude","longitude"
"449",-28.25894,128.54306
"450",-28.25713,128.55293
"451",-28.25622,128.55791
"452",-28.26533,128.52916
"453",-28.26443,128.53407
"454",-28.26812,128.53494
"455",-28.26274,128.58545
"456",-28.26827,128.57631
"457",-28.26645,128.58629
"458",-28.26553,128.59129
"459",-28.27015,128.58714
"460",-28.26924,128.59213
"461",-28.27384,128.58803
"462",-28.27293,128.593
"463",-28.27754,128.5889
"464",-28.27663,128.5939
"465",-28.27572,128.59888
"466",-28.28124,128.58975
"467",-28.28033,128.59477
"468",-28.27942,128.59976
"469",-28.28954,128.58649
"470",-28.31772,128.56483
"471",-28.28214,128.58479
"472",-28.28765,128.57571
"473",-28.28674,128.5807
"474",-28.28584,128.58566
"475",-28.29225,128.57159
"476",-28.29135,128.57657
"477",-28.29045,128.58153
"478",-28.29505,128.57739
"479",-28.29415,128.58235
"480",-28.30155,128.58403
"481",-28.30425,128.56914
"482",-28.30884,128.56499
"483",-28.30017,128.57631
"484",-28.29832,128.58623
"485",-28.3048,128.57219
"486",-28.31034,128.5631
"487",-28.30942,128.56807
"488",-28.07015,131.66344
"489",-28.07618,131.63463
"490",-28.3076,128.50804
"491",-28.30671,128.51294
"492",-28.31122,128.517
"493",-28.08227,131.67174
"494",-15.56898,135.0878
"495",-15.47455,134.60989
"496",-15.50035,134.41747
"497",-15.47988,134.61754
"498",-15.5057,134.42485
"499",-15.50407,134.53972
"500",-15.48522,134.62515
"501",-15.48384,134.63135
"502",-15.50523,134.66191
"503",-15.5009,134.47961
"504",-15.51214,134.44
"505",-15.50274,134.54575
"506",-15.49012,134.76291
"507",-15.50386,134.66818
"508",-15.67759,134.52429
"509",-15.67902,134.52919
"510",-15.47589,134.59612
"511",-15.50813,134.42677
"512",-15.50139,134.5202
"513",-15.50005,134.52629
"514",-15.54287,134.81773
"515",-15.56693,135.09135
"516",-15.68146,134.50645
"517",-15.49063,134.76624
"518",-15.50852,134.44405
"519",-15.47591,134.60374
"520",-15.47318,134.61606
"521",-15.50281,134.41943
"522",-15.50552,134.43854
"523",-15.46954,134.50652
"524",-15.50301,134.48132
"525",-15.51084,134.44591
"526",-15.68033,134.52333
"527",-15.47191,134.61459
"528",-15.53866,134.47748
"529",-15.58236,134.46823
"530",-15.57152,134.43811
"531",-15.58751,134.44443
"532",-15.57833,134.4548
"533",-15.5333,134.43854
"534",-15.53459,134.43263
"535",-15.57812,134.47072
"536",-15.51985,134.37373
"537",-15.49883,134.40611
"538",-15.50145,134.39432
"539",-15.50274,134.38847
"540",-15.50667,134.37076
"541",-15.50797,134.36488
"542",-15.50928,134.35899
"543",-15.49354,134.39868
"544",-15.49614,134.38699
"545",-15.49878,134.37514
"546",-15.50009,134.36925
"547",-15.5014,134.36334
"548",-15.5027,134.35748
"549",-15.50401,134.35156
"550",-15.49217,134.3737
"551",-15.4948,134.36188
"552",-15.49742,134.35013
"553",-15.51584,134.37756
"554",-15.50163,134.41154
"555",-15.50417,134.39967
"556",-15.51051,134.37018
"557",-15.49885,134.39223
"558",-15.50139,134.38043
"559",-15.50521,134.36267
"560",-15.50647,134.3568
"561",-15.49353,134.38481
"562",-15.49609,134.37296
"563",-15.49862,134.36119
"564",-15.49989,134.35532
"565",-16.51569,124.19614
"566",-14.28924,126.98547
"567",-14.29072,126.97732
"568",-13.00707,132.52832
"569",-13.00609,132.53329
"570",-13.0107,132.53033
"571",-13.00968,132.53528
"572",-13.00767,132.54506
"573",-13.27996,132.32552
"574",-13.28482,132.30177
"575",-13.2858,132.29695
"576",-13.28677,132.29222
"577",-13.2697,132.31361
"578",-13.27164,132.30411
"579",-12.35674,132.73982
"580",-12.35566,132.74512
"581",-12.3631,132.74107
"582",-12.36947,132.74226
"583",-12.3684,132.74756
"584",-12.37477,132.74879
"585",-12.37903,132.69495
"586",-12.39167,132.69763
"587",-12.38958,132.74094
"588",-13.00666,132.54994
"589",-12.37053,132.73701
"590",-12.36417,132.73575
"591",-12.35782,132.73448
"592",-12.3589,132.72914
"593",-12.99814,132.57326
"594",-12.9755,132.5441
"595",-12.97203,132.54196
"596",-12.45888,132.49231
"597",-12.46184,132.49229
"598",-12.38535,132.6963
"599",-12.39327,132.69719
"600",-11.81512,130.92592
"601",-12.90337,130.496
"602",-12.90266,130.49966
"603",-12.90369,130.55324
"604",-13.02116,130.41672
"605",-13.02661,130.41777
"606",-13.04295,130.42096
"607",-11.81487,130.93025
"608",-13.41768,132.4256
"609",-12.06076,133.66298
"610",-13.46143,132.42725
"611",-13.46045,132.43202
"612",-14.11135,129.99455
"613",-14.24328,129.89981
"614",-14.13214,129.82986
"615",-14.13274,129.82672
"616",-14.12639,129.83199
"617",-14.1276,129.8257
"618",-14.24023,129.85983
"619",-14.24538,129.86082
"620",-14.26054,129.89339
"621",-14.07849,130.02496
"622",-14.08369,130.02603
"623",-33.83384,116.16175
"624",-32.85297,116.42618
"625",-32.85446,116.42343
"626",-18.33469,142.43538
"627",-22.34559,150.56767
"628",-18.25243,142.5213
"629",-18.33478,142.43222
"630",-18.33065,142.46678
"631",-16.75212,124.83522
"632",-15.52841,126.6978
"633",-29.1166,122.98264
"634",-29.12361,122.98099
"635",-29.13572,122.98743
"636",-20.59892,116.78233
"637",-20.59649,116.78447
"638",-41.01633,147.08621
"639",-41.53008,146.95836
"640",-37.34464,141.4841
"641",-22.19877,148.69
"642",-16.90029,143.19225
"643",-16.90466,143.19891
"644",-16.89386,143.18564
"645",-19.75685,147.15643
"646",-19.7564,147.1602
"647",-16.89156,143.17892
"648",-16.88101,143.136
"649",-16.87628,143.13232
"650",-16.87663,143.12926
"651",-18.2719,142.513
"652",-18.37544,142.41191
"653",-16.93715,143.25826
"654",-16.91896,143.23776
"655",-16.92027,143.22572
"656",-16.92206,143.22554
"657",-16.91561,143.23697
"658",-16.91631,143.23097
"659",-18.25679,142.50064
"660",-16.87498,143.09801
"661",-16.87869,143.1109
"662",-16.87835,143.11398
"663",-16.88585,143.09306
"664",-16.89955,143.06334
"665",-16.91628,143.05266
"666",-16.91593,143.05576
"667",-18.33606,142.47321
"668",-18.34991,142.44568
"669",-18.34953,142.44926
"670",-18.34915,142.45285
"671",-18.34876,142.45645
"672",-18.34838,142.46007
"673",-16.92093,143.21964
"674",-17.02826,143.3495
"675",-17.07937,143.39177
"676",-17.10329,143.39671
"677",-17.19677,143.42159
"678",-17.19707,143.41977
"679",-22.40932,150.6774
"680",-14.85945,141.60695
"681",-14.86053,141.60765
"682",-14.80033,141.73764
"683",-11.8467,142.24773
"684",-11.88552,142.26447
"685",-37.58315,148.10579
"686",-37.58709,148.10323
"687",-37.58961,148.10815
"688",-37.34339,141.47237
"689",-37.34506,141.48666
"690",-34.57394,118.20863
"691",-41.11881,147.83987
"692",-42.21033,146.81602
"693",-37.84382,147.1732
"694",-37.83785,147.17032
"695",-37.84058,147.16977
"696",-16.15586,136.84926
"697",-16.04701,136.41602
"698",-16.05178,136.42108
"699",-16.06373,136.41949
"700",-14.72561,134.75397
