POSTAL_CODE,lon,lat
2505,150.8900145,-34.4744767
2506,150.840584,-34.4793722
2508,150.9307341,-34.2055707
2515,150.933643,-34.295339
2516,150.904556,-34.3284699
2517,150.9016476,-34.3454996
2518,150.9016476,-34.3759776
2519,150.8783824,-34.3902523
2520,NA,NA
2522,150.8798363,-34.4045914
2525,150.8434913,-34.4319396
2526,150.7911697,-34.4132402
2527,150.7562989,-34.5764532
2528,150.8551207,-34.5566631
2529,150.8551207,-34.5971935
2530,150.7446771,-34.5227686
2533,150.7795452,-34.6635132
2534,150.7911697,-34.7373565
2535,150.6981989,-34.7533953
2536,150.0722053,-35.6491178
2537,149.9334764,-35.8894726
2538,150.2805623,-35.4461873
2539,150.2342337,-35.3536829
2540,150.5976674,-35.1516626
2541,150.5936766,-34.8772295
2545,149.7948904,-36.1284919
2546,149.9797036,-36.2586281
2548,149.8757147,-36.8301133
2549,149.817978,-36.9804396
2550,149.7487272,-36.6279305
2551,149.7948904,-37.2277856
2555,150.7504879,-33.8787051
2556,150.7330562,-33.9404662
2557,150.7737333,-33.9968842
2558,150.8057017,-34.0331927
2559,150.794076,-34.050553
2560,150.8144215,-34.2364674
2563,150.7504879,-34.1028697
2564,150.8900145,-33.9963891
2565,150.8493059,-33.9909712
2566,150.8493059,-34.0317453
2567,150.7562989,-34.048387
2568,150.7098171,-34.1380681
2569,150.7040079,-34.1924773
2570,150.6285091,-34.0252949
2571,150.6401218,-34.2011979
2572,150.5124332,-34.177879
2573,150.587872,-34.233219
2574,150.6517354,-34.3767989
2575,150.3500838,-34.358075
2576,150.4660289,-34.5304441
2577,150.4428323,-34.6253671
2578,150.2921468,-34.6559402
2579,150.1647697,-34.7125661
2580,149.7487272,-34.7206289
2581,149.3800105,-34.7796381
2582,148.8289611,-34.9445333
2583,149.3800105,-34.2977169
2584,148.6687118,-34.6796688
2585,148.5315297,-34.6006042
2586,148.8289611,-34.4652711
2587,148.3260629,-34.6013985
2588,148.1209694,-34.522128
2590,147.9617144,-34.6546705
2594,148.0982046,-34.2563299
2600,149.1099161,-35.3075699
2601,149.1213974,-35.28099419999999
2602,149.1328799,-35.2544049
2603,149.1328799,-35.3239832
